id,name,cluster,role,source_page
agriculture,Agriculture,Economic sectors,"The backbone of the economy and jobs, being modernised for higher value and fewer losses.",30
manufacturing,Industry & manufacturing,Economic sectors,"Moving from raw materials to finished goods, the core of industrialisation.",31
construction,Construction,Economic sectors,"Building the housing and infrastructure a growing, urbanising country needs.",32
mining,Mining & quarrying,Economic sectors,"Turning minerals into value at home, not just raw exports.",33
oilgas,Oil & gas,Economic sectors,Monetising natural gas for energy security and industry.,34
tourism,Tourism,Economic sectors,"A top export earner, aiming to become a leading African destination.",35
education,Education & skills,People and society,"Building the skilled, learning society a modern economy needs.",46
health,Health,People and society,"Universal health coverage and a stronger, better-funded system.",50
water,Water & sanitation,People and society,Clean water and sanitation for every household.,53
employment,Jobs & labour,People and society,"More and better jobs, especially for youth and people with disabilities.",48
