sector,attention,signal,rationale,basis,source_page
Kilimo,5,Rising,"Nguzo ya uchumi (26.5% ya pato la taifa, 65% ya ajira); inalengwa kuwa kitovu cha chakula kikanda kupitia kuboresha na uongezaji thamani.",Documented,52
Nishati,5,Rising,"Kichocheo na lengo gumu (170 → 3,000 kWh/mtu); uwekezaji mkubwa kwenye maji, jua, upepo, jotoardhi na nyuklia.",Documented,45
Kidijitali na TEHAMA,5,Rising,"Kichocheo pamoja na malengo wazi (70% umahiri wa kidijitali, 80% huduma mtandaoni); kinasukuma kila sekta nyingine.",Documented,8
Viwanda,4,Rising,"Inatarajiwa kupanuka kutoka 8.1% ya pato la taifa nchi ikihama kutoka malighafi hadi bidhaa kamili.",Documented,53
Madini na madini muhimu,4,Rising,"Grafiti, lithiamu, urani na madini adimu vinaunganika na mabadiliko ya nishati duniani; uongezaji thamani unapewa kipaumbele.",Documented,54
Usafirishaji na miundombinu,4,Rising,"Kichocheo; kuboresha reli, bandari na barabara kuwa kitovu cha biashara kikanda.",Documented,44
Utalii,4,Rising,"25% ya mauzo ya nje; inalengwa kuwa kivutio kikuu cha Afrika kikiwa na sehemu mpya (ikolojia, utamaduni, MICE).",Documented,52
Uchumi wa buluu,3,Emerging,"Ukanda wa pwani na maziwa usiotumika sana: uvuvi, LNG, usafiri wa baharini na nishati ya bahari.",Documented,54
Huduma za kifedha,3,Rising,"Mahitaji yanapanda na ukuaji na urasimishaji; fedha jumuishi na zenye ufanisi ni lengo lililotajwa.",Documented,54
Ujenzi na mali isiyohamishika,3,Rising,"Ukuaji wa miji (50%+ ifikapo 2050) unaendesha makazi, miundombinu na ajira.",Documented,53
Sekta za ubunifu na michezo,2,Emerging,"Zimetajwa kama uwezo usiotumika kwa ajira za vijana na mauzo ya kiutamaduni.",Documented,54
