term,plain_definition
GDP,"Gross Domestic Product: the total value of everything a country produces in a year."
GDP per capita,"The country's total output divided by its people; a rough measure of average income per person."
Upper-middle-income country,"A World Bank income group; Tanzania aims to move up into it by earning more per person."
Extreme poverty,"Living on so little that basic needs like food and shelter cannot be met."
Human Capital Index,"A score from 0 to 1 showing how much of their potential a child born today will reach as a healthy, educated adult."
Universal health coverage,"Everyone can get the health care they need without financial hardship."
STEM,"Science, Technology, Engineering and Mathematics; skills seen as key to a modern economy."
Digital literacy,"Being able to use computers, phones and the internet confidently for everyday tasks."
Tax-to-GDP ratio,"How much the government collects in taxes compared with the size of the economy."
Maternal mortality,"The number of women who die from pregnancy or childbirth, per 100,000 live births."
kWh,"Kilowatt-hour: a unit of electricity; using more per person usually signals a more developed economy."
Pillar,"One of the three main goal areas of Vision 2050: Economy, People, and Environment."
Driver,"One of the five catalytic enablers that power the Vision: Logistics, Energy, Science & Technology, R&D, and Digital Transformation."
Foundation,"Good governance, peace, security and stability; the base on which the whole Vision rests."
Value addition,"Turning raw materials into finished goods so the country earns more from what it produces."
