sector,attention,signal,rationale,basis,source_page
Agriculture,5,Rising,"Cornerstone of the economy (26.5% of GDP, 65% of jobs); targeted to become a regional food hub through modernisation and value addition.",Documented,57
Energy,5,Rising,"A named driver and hard target (170 → 3,000 kWh/person); heavy investment across hydro, solar, wind, geothermal, nuclear.",Documented,50
Digital & ICT,5,Rising,"A driver plus explicit targets (70% digital literacy, 80% e-services); underpins every other sector.",Documented,10
Manufacturing,4,Rising,"Set to expand from 8.1% of GDP as the country shifts from raw materials to finished goods.",Documented,58
Mining & critical minerals,4,Rising,"Graphite, lithium, uranium and rare earths tie into the global energy transition; value addition prioritised.",Documented,59
Logistics & infrastructure,4,Rising,"A driver; upgrades to rail, ports and roads to become a regional trade hub.",Documented,48
Tourism,4,Rising,"25% of export earnings; targeted as Africa's leading destination with new segments (eco, cultural, MICE).",Documented,57
Blue economy,3,Emerging,"Largely untapped coastline and lakes: fisheries, LNG, marine transport and ocean energy.",Documented,59
Financial services,3,Rising,"Demand rises with growth and formalisation; inclusive, efficient finance is a stated aim.",Documented,59
Construction & real estate,3,Rising,"Urbanisation (50%+ by 2050) drives housing, infrastructure and jobs.",Documented,58
Creative & sports industries,2,Emerging,"Flagged as untapped potential for youth employment and cultural export.",Documented,59
