enabler_id,letter,text,source_page
logistics,a,"Lango kuu la Afrika Mashariki na Kusini, likiongeza faida ya miundombinu ya biashara na kuwezesha biashara ya mipakani isiyo na vikwazo.",44
logistics,b,"Kitovu cha biashara ya usafirishaji kinachoifanya Tanzania kuwa kiongozi wa usafirishaji kwa Afrika Mashariki na Kati.",44
logistics,c,"Mtandao wa usafirishaji fungamanishi wenye mfumo shindani wa usafiri wa aina mbalimbali na miundombinu ya kisasa.",44
logistics,d,"Watoa huduma wa usafirishaji wa kuaminika na wa hali ya juu wanaotoa huduma bora kwa bei shindani wakitumia teknolojia za kidijitali.",44
logistics,e,"Mazingira ya udhibiti yenye uwazi na ufanisi yanayorahisisha forodha na kupunguza urasimu na vizuizi.",44
logistics,f,"Mtandao wa usafirishaji jumuishi na unaofikika ulioundwa kuwahudumia watu wenye ulemavu.",44
energy,a,"Taifa lisilo na umaskini wa nishati, linalozalisha nishati ya kutosha kuendesha maisha ya uzalishaji na kijamii na kuwa kiongozi wa nishati kikanda.",45
energy,b,"Mfumo wa nishati safi wenye ustahimilivu na ufanisi unaohakikisha upatikanaji wa uhakika na nafuu kwa wote.",45
energy,c,"Miundombinu imara ya nishati inayowezesha viwanda, kuchochea ubunifu na kuwezesha mseto wa uchumi.",45
science-tech,a,"Matumizi mapana ya teknolojia za kisasa katika ngazi zote za uzalishaji na utoaji wa huduma.",47
science-tech,b,"Kanda za teknolojia na vituo vya ubunifu vya hadhi ya juu kwa ajili ya utafiti katika kilimo, viwanda na afya.",47
science-tech,c,"Jamii jumuishi ya kidijitali ambapo teknolojia za kisasa zinaunda suluhisho zinazofikika kwa watu wenye ulemavu.",47
science-tech,d,"Taasisi ya hadhi ya juu ya utabiri na tathmini ya teknolojia.",47
science-tech,e,"Mfumo jumuishi wa STEM unaowawezesha wanawake na wasichana katika sayansi na ubunifu.",48
science-tech,f,"Uwekezaji imara na jumuishi katika kubuni, kusimamia na kutumia teknolojia za kisasa.",48
rnd,a,"Mfumo imara wa utafiti na maendeleo unaovutia ushirikiano wa kimataifa, ukiimarishwa na ulinzi thabiti wa haki miliki.",48
rnd,b,"Mfumo endelevu wa kugharimia utafiti unaotenga angalau 1% ya pato la taifa, wenye vivutio kwa uwekezaji wa sekta binafsi.",48
rnd,c,"Taifa linalokumbatia fikra za baadaye na maamuzi yenye msingi wa ushahidi.",48
rnd,d,"Kitovu cha ubunifu kikanda kinachosaidia ubunifu na uvumbuzi wa ndani kutoka wazo hadi biashara.",48
rnd,e,"Vyuo vikuu na vituo vya umahiri vya hadhi ya juu vyenye uhusiano imara na viwanda.",48
rnd,f,"Mfumo hai wa ubunifu wenye utabiri sahihi wa teknolojia.",48
digital,a,"Jamii yenye umahiri wa kidijitali inayokumbatia ujuzi wa kidijitali, matumizi salama na teknolojia za kisasa zinazolingana na maadili.",49
digital,b,"Kitovu cha kikanda cha maendeleo ya teknolojia kinachotumia teknolojia za kisasa kuchochea ubunifu na ushindani.",49
digital,c,"Upatikanaji wa nchi nzima wa huduma za mawasiliano za uhakika na nafuu na intaneti ya kasi.",49
digital,d,"Mfumo imara na fungamanishi wa usimamizi wa takwimu na taarifa, huku taifa likidumisha umiliki wa taarifa zake.",49
digital,e,"Ubiasharishaji mpana wa takwimu ili kuongeza thamani ya kiuchumi na kuunda ajira.",49
digital,f,"Kitovu kikuu cha kikanda cha kutengeneza programu na maudhui ya kidijitali, kikishirikisha vijana.",49
digital,g,"Taifa linaloongoza katika matumizi ya teknolojia za kisasa, likiwezeshwa na nguvu kazi iliyoandaliwa kwa siku zijazo.",49
digital,h,"Serikali kamili ya kidijitali inayotoa huduma bora, zenye ufanisi na jumuishi kwa wananchi na biashara wakati wowote, mahali popote.",49
