id,name,note,meta,source_page
sez,Special Economic Zones,"Five SEZs, including Bagamoyo and the Dodoma critical-minerals and technology hub, built on public infrastructure to draw private capital into industry.",1:3 to 1:4 public-private leverage · ~TZS 5 to 6.5tn,103
diaspora,Diaspora bonds and remittance-linked instruments,"Tapping Tanzanians abroad through bonds and products backed by their remittances.",Target USD 1bn by 2030/31 · ~TZS 2 to 2.5tn,103
green,Climate and green finance,"Raised through accredited climate entities, green bonds included, for climate-resilient investment.",Toward the USD 4bn/year climate goal · ~TZS 8 to 10tn,103
carbon,Carbon credit market,"Selling verified carbon credits from forests, wetlands and other ecosystems.",Up to USD 3bn a year by 2030/31 · ~TZS 12 to 15tn,103
blended,Blended finance,"Concessional funds used to de-risk projects and pull in private money for infrastructure, energy and MSMEs.",~TZS 2 to 3tn,103
asset,Asset monetisation and land value capture,Freeing capital locked in public assets and capturing rising land values.,Target TZS 2tn by 2030/31 · ~TZS 1.5 to 2tn,103
pension,Pension and long-term savings,Channelling formal pension schemes and other long-term savings into development finance.,,103
dfi,Development Finance Institutions (TADB & TIB),Recapitalised through PPPs and blended finance so they can leverage more private capital.,,103
pscbond,Public corporation bonds and equity,"Public corporations issuing corporate, infrastructure and green bonds, and taking on strategic equity partners.",,104
ppp,Public-Private Partnerships,Sharing risk and capital with private investors on major bankable projects.,Target 6 to 8 PPP projects by 2030,104
digital,Digital platforms and crowdfunding,Expanding MSME formalisation and digital finance to widen the pool of investors.,,104
impact,Development and impact bonds,Outcome-linked and results-based finance piloted in high-impact sectors.,,104
