id,audience,why,opportunities,actions,skills,sectors,engage
students,Wanafunzi,"Ajira na viwanda vya 2050 vinaamuliwa sasa, na unachosoma leo kinapaswa kuendana na Tanzania inakoelekea.","Mahitaji yanayoongezeka ya wahitimu wa STEM|Nyanja zinazochipuka: AI, takwimu, nishati, bioteknolojia|Ujasiriamali wa kidijitali na kilimo-teknolojia","Chagua kozi za STEM na zinazohitajika sokoni|Jenga ujuzi wa kidijitali na takwimu mapema|Jiunge na vituo vya ubunifu","STEM|Umahiri wa kidijitali|Takwimu na programu|Utatuzi wa matatizo","TEHAMA|Nishati|Kilimo|Viwanda","Vyuo vikuu|Vituo vya ubunifu|Mafunzo ya ufundi (VETA)"
jobseekers,Watafutaji ajira na wafanyakazi,"Nusu ya Watanzania wanalengwa kwa ajira zenye staha; mchanganyiko wa ujuzi unaohitajika unabadilika kwa kasi.","Ajira mpya rasmi katika viwanda, utalii na ujenzi|Nafasi za nishati safi na kidijitali|Njia za kujifunza upya","Jifunze upya katika sekta zinazokua|Pata vyeti vya ujuzi wa kidijitali na kiufundi|Fuatilia mwenendo wa ajira","Ufundi|Zana za kidijitali|Huduma kwa wateja|Usafirishaji","Viwanda|Utalii|Ujenzi|Usafirishaji","VETA|Waajiri|Vyama vya sekta"
researchers,Watafiti na wanataaluma,"Mpango unaahidi angalau 1% ya pato la taifa kwa utafiti, ulinzi wa haki miliki na vituo vya umahiri; mabadiliko makubwa ya ufadhili.","Ruzuku za utafiti na ufadhili wa R&D|Ubiasharishaji wa haki miliki|Ushirikiano wa vyuo na viwanda","Oanisha utafiti na vipaumbele vya taifa|Jenga uhusiano na viwanda|Linda na uuze haki miliki","Mbinu za utafiti|Sayansi ya takwimu|Usimamizi wa ubunifu|Uandishi wa ruzuku","Sayansi na Teknolojia|Kilimo|Afya|Nishati","Vyuo vikuu|COSTECH|Vitengo vya R&D vya viwanda"
government,Watumishi wa serikali,"Utekelezaji unategemea taasisi imara, huduma za kidijitali na ushahidi; utumishi wa umma unatakiwa kuboreka.","Miradi ya serikali ya kidijitali|Nafasi za ufuatiliaji na tathmini|Programu za kujenga uwezo","Jenga ujuzi wa kidijitali na takwimu|Imarisha ufuatiliaji na tathmini|Oanisha mipango na Dira 2050","Fedha za umma|Ufuatiliaji na Tathmini|Ubunifu wa huduma za kidijitali|Usimamizi wa miradi","Mageuzi ya Kidijitali|Utawala wa umma","Tume ya Mipango|Wizara|Serikali za mitaa"
policymakers,Watunga sera na Bunge,"Dira 2050 lazima iingizwe katika sheria, bajeti na ilani za vyama ili idumu kuvuka mizunguko ya kisiasa.","Kuunda sheria wezeshi|Kuelekeza bajeti kwenye nyenzo muhimu|Kusimamia uwajibikaji","Anzisha mipango na ilani kwenye Dira 2050|Gharimia vichocheo kwanza|Tumia ushahidi na viashiria","Uchambuzi wa sera|Fedha za umma|Fikra za mfumo|Utungaji wa sheria","Sekta zote","Tume ya Mipango|Wizara|Kamati za Bunge"
companies,Makampuni binafsi,"Sekta binafsi imetajwa kama injini ya ukuaji, ikiwa na uongezaji thamani na ujenzi wa viwanda kiini.","Uongezaji thamani na viwanda|Ubia wa umma na binafsi|Ukuaji wa mauzo ya nje chini ya AfCFTA","Wekeza kwenye uongezaji thamani|Fuatilia ubia (PPP)|Jenga uwezo wa mauzo ya nje","Uhandisi wa viwanda|Biashara na mauzo ya nje|Usimamizi wa ubora|Fedha","Viwanda|Kilimo|Madini|Usafirishaji","TPSF|Wizara|Mamlaka za uwekezaji"
startups,Biashara changa na wajasiriamali,"Mageuzi ya kidijitali, fintech na kilimo-teknolojia ni vipaumbele wazi katika soko changa la simu.","Huduma za kidijitali na ujumuishaji wa e-serikali|Fintech na fedha za simu|Mifumo ya kilimo-teknolojia na usafirishaji","Jenga kwa lengo la huduma za kidijitali|Jiunge na vituo vya kulea na kukuza biashara changa|Fuatilia ufadhili wa ubunifu","Programu|Bidhaa na UX|Ukusanyaji fedha|Ukuaji","Mageuzi ya Kidijitali|Huduma za kifedha|Kilimo","Vituo vya ubunifu|Wawekezaji|COSTECH"
investors,Wawekezaji,"Tanzania inalenga kuwa miongoni mwa tatu bora Afrika kwa uwekezaji, ikiwa na madini muhimu na nishati kiini cha mabadiliko ya nishati duniani.","Madini muhimu (grafiti, lithiamu, madini adimu)|Uzalishaji wa nishati na miundombinu|Rasilimali za viwanda na utalii","Jipange mapema kwenye sekta za kipaumbele|Panga ubia (PPP)|Fuatilia mabadiliko ya sheria","Upangaji wa mikataba|Uchambuzi wa hatari|Uchunguzi wa sekta","Madini|Nishati|Viwanda|Utalii","TIC|Wizara ya Madini|Wadhamini wa miradi"
finance,Taasisi za kifedha,"Msingi finyu wa kodi na mapungufu ya fedha vinaleta mahitaji makubwa ya mikopo, masoko ya mitaji na fedha jumuishi.","Fedha za miundombinu na miradi|Mikopo ya SME na kilimo|Kukuza masoko ya mitaji","Buni fedha kwa sekta za kipaumbele|Panua fedha jumuishi na za simu|Saidia urasimishaji","Hatari ya mikopo|Fedha za miradi|Fintech|Masoko ya mitaji","Huduma za kifedha|Nishati|Kilimo","BOT|DSE|CMSA"
partners,Washirika wa maendeleo na NGOs,"Mpango unapa kipaumbele ujumuishaji, hifadhi ya jamii, ustahimilivu wa tabianchi na uwezo; maeneo ya asili ya ushirikiano.","Programu za kujenga uwezo|Hifadhi ya jamii na ujumuishaji|Miradi ya kustahimili tabianchi","Oanisha programu na malengo ya Dira 2050|Saidia ujumuishaji wa wanawake, vijana na wenye ulemavu|Gharimia mapengo ya uwezo","Ubunifu wa programu|Ufuatiliaji na Tathmini|Fedha za tabianchi|Ushirikiano wa jamii","Afya|Elimu|Mazingira|Hifadhi ya jamii","Tume ya Mipango|Wizara|Serikali za mitaa"
technologists,Wataalamu wa teknolojia na takwimu,"Mageuzi ya kidijitali, vituo vya takwimu, AI na usalama wa mtandao ni vichocheo vilivyotajwa vyenye mapengo ya ujuzi.","Miradi ya takwimu na AI ya kitaifa|Usalama wa mtandao na wingu|GIS na uchambuzi kwa mipango","Jiongezee ujuzi wa AI, takwimu na usalama|Jenga kwa e-serikali|Saidia umiliki wa takwimu","AI|Uhandisi wa takwimu|Usalama wa mtandao|GIS","Mageuzi ya Kidijitali|Huduma za umma","Mamlaka ya Serikali Mtandao|Wizara|Kampuni za teknolojia"
