skill,category,demand,why_matters,where_in_strategy,basis,learning_path,certifications,programs,outlook
Data science & analytics,Digital,High,"Evidence-driven planning and a national data system depend on people who can turn data into decisions.","Digital Transformation; evidence-driven implementation (MEL)",Inferred,"Statistics → programming (Python/R) → machine learning → applied projects","Google Data Analytics, Azure Data, AWS","BSc Data Science, Statistics, Computer Science","High and rising across government, finance and health"
Artificial intelligence,Digital,High,"AI is named among the disruptive technologies for productivity and service delivery.","Science & Technology; Digital Transformation",Documented,"Programming → maths for ML → deep learning → MLOps","DeepLearning.AI, TensorFlow Developer, AWS ML","Computer Science, Data Science, AI","Emerging fast; local talent is scarce"
Cybersecurity,Digital,High,"Expanding e-government and data infrastructure raises the need to secure systems and data sovereignty.","Digital Transformation",Inferred,"Networking → security fundamentals → hands-on labs → specialisation","CompTIA Security+, CEH, CISSP","Cybersecurity, Computer Engineering, IT","Critical as e-government and data grow"
GIS & geospatial,Digital,Medium,"Spatial analysis supports land management, agriculture, infrastructure and climate planning.","Environment; evidence-driven implementation",Inferred,"Geography/data → GIS tools (QGIS/ArcGIS) → spatial analysis → remote sensing","Esri Technical, QGIS","Geomatics, Geography, Environmental Science","Steady demand in land, agriculture and planning"
Monitoring & Evaluation,Policy,High,"A digital-first MEL framework and clear KPIs are core to accountable delivery.","Implementation framework (7.5)",Documented,"Research methods → indicators & logframes → data collection → evaluation","PMD Pro, IPDET","Development Studies, Statistics, Economics","High across the public sector and NGOs"
Public finance & PPP structuring,Policy,High,"Reducing aid dependency and financing via PPPs needs strong public-finance and deal skills.","Implementation; fiscal sustainability",Documented,"Economics/finance → public financial management → PPP structuring","CIPFA, CFA, PPP certification","Economics, Finance, Public Administration","High as PPPs and self-financing expand"
Renewable-energy engineering,Engineering,High,"Scaling hydro, solar, wind, geothermal and nuclear requires energy engineers and technicians.","Energy driver",Documented,"Engineering fundamentals → power systems → renewables → grids","Renewable energy certs, PE licence","Electrical & Energy Engineering","High with the energy scale-up"
Agricultural technology,Agriculture,High,"Modernising crops, livestock, fisheries and forestry needs agri-tech, aquaculture and cold-chain skills.","Agriculture sector",Inferred,"Agriculture/biology → agri-tech tools → agribusiness","Agronomy & agri-tech certs","Agriculture, Agribusiness, Food Science","High; agriculture is modernising"
Manufacturing & industrial engineering,Engineering,High,"Value addition and a competitive manufacturing hub depend on industrial and process engineers.","Manufacturing sector",Documented,"Engineering → production systems → quality/lean → automation","Six Sigma, PMP","Industrial & Mechanical Engineering","High as manufacturing expands"
Logistics & supply-chain,Operations,High,"Cutting logistics costs (35-45% of imports) and running multimodal transport needs supply-chain expertise.","Integrated Logistics driver",Documented,"Operations → supply-chain management → trade & customs","CILT, APICS/CSCP","Logistics, Supply Chain, Business","High with trade-hub ambitions"
Climate adaptation,Environment,Medium,"Climate resilience and environmental integrity are a full pillar of the Vision.","Environment pillar",Documented,"Environmental science → climate risk → adaptation planning","Climate change & DRR certs","Environmental Science, Climate Studies","Growing across sectors"
Research & IP commercialisation,Research,Medium,"Turning research into products requires innovation management and IP skills.","R&D driver",Documented,"Research methods → innovation management → IP & tech transfer","IP management, tech transfer","Research Masters/PhD, Innovation Management","Medium; grows with R&D funding"
Healthcare specialties,Health,Medium,"Universal health coverage and ending maternal and child mortality require more health professionals.","People pillar; health",Documented,"Health sciences → clinical training → specialisation","Medical & nursing boards","Medicine, Nursing, Public Health","High for universal health coverage"
Financial technology,Digital,Medium,"Expanding financial inclusion builds on mobile money and digital banking.","Financial services; Digital Transformation",Documented,"Finance + software → payments → digital banking","Fintech certs, cloud","Finance, Computer Science, Fintech","High with financial inclusion"
Software & product development,Digital,High,"Digital services, e-government and startups all rest on software talent.","Digital Transformation",Inferred,"Programming → web/mobile → product & UX → deployment","Cloud (AWS/Azure), full-stack bootcamps","Computer Science, Software Engineering","High across every sector"
