term,plain_definition
Pato la Taifa (GDP),"Jumla ya thamani ya kila kitu nchi inachozalisha kwa mwaka."
Pato la mtu (GDP per capita),"Pato lote la nchi likigawanywa kwa watu; kipimo cha jumla cha kipato cha mtu."
Kipato cha kati ngazi ya juu,"Kundi la kipato la Benki ya Dunia; Tanzania inalenga kupanda humo kwa kuongeza kipato kwa mtu."
Umaskini uliokithiri,"Kuishi kwa kipato kidogo mno kiasi cha kushindwa kumudu mahitaji ya msingi kama chakula na makazi."
Kielelezo cha Mtaji Watu,"Alama kutoka 0 hadi 1 inayoonyesha kiasi cha uwezo mtoto wa leo atakachofikia akiwa mtu mzima mwenye afya na elimu."
Huduma za afya kwa wote,"Kila mtu anaweza kupata huduma za afya anazohitaji bila matatizo ya kifedha."
STEM,"Sayansi, Teknolojia, Uhandisi na Hisabati; ujuzi unaoonekana muhimu kwa uchumi wa kisasa."
Umahiri wa kidijitali,"Kuweza kutumia kompyuta, simu na intaneti kwa ujasiri katika shughuli za kila siku."
Uwiano wa kodi kwa pato la taifa,"Kiasi cha kodi serikali inachokusanya ikilinganishwa na ukubwa wa uchumi."
Vifo vya uzazi,"Idadi ya wanawake wanaofariki kutokana na ujauzito au kujifungua, kwa kila vizazi hai 100,000."
kWh,"Kilowati-saa: kipimo cha umeme; matumizi makubwa kwa mtu mara nyingi yanaashiria uchumi ulioendelea."
Nguzo,"Mojawapo ya maeneo makuu matatu ya malengo ya Dira 2050: Uchumi, Watu, na Mazingira."
Kichocheo,"Mojawapo ya vichocheo vitano vinavyoendesha Dira: Usafirishaji, Nishati, Sayansi na Teknolojia, Utafiti na Maendeleo, na Mageuzi ya Kidijitali."
Msingi,"Utawala bora, amani, usalama na utulivu; msingi ambao Dira nzima inaukalia."
Uongezaji thamani,"Kubadilisha malighafi kuwa bidhaa kamili ili nchi ipate zaidi kutoka kwa inachozalisha."
