category,insight,basis,source_page
Priority,"Industrialisation and value addition — moving from raw materials to finished goods — is the spine of the economic pillar.",Documented,58
Priority,"Human capital is a make-or-break: the Human Capital Index of 0.39 is below the regional average and must rise.",Documented,64
Priority,"Energy is treated as foundational — electricity per person must rise nearly 18-fold to 3,000 kWh.",Documented,50
Dependency,"Almost everything depends on energy: industrialisation, digital services and productivity all assume reliable power.",Inferred,50
Dependency,"Delivery depends on skills; a workforce-skills mismatch is named as a persistent challenge.",Documented,64
Dependency,"Trade competitiveness depends on logistics — costs of 35-45% of imports are among the world's highest.",Documented,48
Capability gap,"R&D is underfunded; the plan sets a floor of 1% of GDP, implying today's spend is below it.",Documented,52
Capability gap,"A narrow tax base (11.9% tax-to-GDP) limits domestic financing for the Vision.",Documented,50
Capability gap,"Low electricity access and per-capita use constrain industry, especially in rural areas.",Documented,50
Bottleneck,"Regulatory complexity, overlapping levies and bureaucracy raise the cost of doing business and logistics.",Documented,48
Bottleneck,"Limited access to affordable financing slows energy, R&D and enterprise investment.",Documented,50
Bottleneck,"Brain drain and skills shortages threaten research and innovation capacity.",Documented,52
Leverage point,"The Julius Nyerere Hydropower Project (2,115 MW) is a near-term lever to unlock industrial power.",Documented,50
Leverage point,"A youthful population (43% under 15) is a demographic dividend if skilled and employed.",Documented,3
Leverage point,"Critical minerals position Tanzania in global energy-transition supply chains.",Documented,59
Leverage point,"Gateway geography plus AfCFTA make Tanzania a natural regional trade and logistics hub.",Documented,48
Risk,"Weak execution: the plan itself warns it will not tolerate weak implementation of past plans.",Documented,61
Risk,"Aid dependency; the framework pushes PPPs and domestic savings to reduce reliance on external funding.",Documented,61
Risk,"Growth that is not inclusive — prior growth 'lacked inclusivity' and did not cut poverty enough.",Documented,4
Risk,"Climate change threatens agriculture, water and infrastructure across the plan.",Documented,41
