enabler_id,letter,text,source_page
logistics,a,"A premier gateway for Eastern and Southern Africa, maximising returns on trade infrastructure and enabling seamless cross-border trade.",49
logistics,b,"A thriving transit-trade gateway positioning Tanzania as a leading logistics hub for East and Central Africa.",49
logistics,c,"An integrated logistics network with a competitive multimodal transport system and modernised infrastructure.",49
logistics,d,"High-quality, reliable logistics providers delivering world-class services at competitive prices using advanced digital technologies.",49
logistics,e,"A transparent, efficient regulatory environment that streamlines customs and reduces bureaucracy and roadblocks.",49
logistics,f,"An inclusive, accessible logistics network designed to support people with disabilities.",49
energy,a,"A nation free from energy poverty, generating enough energy to power productive and social life and become a leading regional energy exporter.",50
energy,b,"A resilient, efficient clean-energy system ensuring reliable and affordable access for all.",50
energy,c,"Robust energy infrastructure that supports industrialisation, nurtures innovation and enables economic diversification.",50
science-tech,a,"Widespread adoption of disruptive technologies across all levels of production and service delivery.",51
science-tech,b,"World-class technology zones and innovation hubs dedicated to research in agriculture, manufacturing and health.",51
science-tech,c,"A digitally inclusive society where advanced technologies create accessible solutions for people with disabilities.",51
science-tech,d,"A world-class institution for technology forecasting and assessment.",51
science-tech,e,"An inclusive STEM ecosystem that empowers women and girls in science and innovation.",52
science-tech,f,"Robust, inclusive investment in developing, managing and using emerging technologies.",52
rnd,a,"A robust R&D ecosystem attracting global collaboration, underpinned by strong intellectual property protection.",52
rnd,b,"A sustainable R&D financing mechanism allocating at least 1% of GDP, with incentives for private-sector investment.",52
rnd,c,"A nation that embraces futures thinking and evidence-based decision-making.",52
rnd,d,"A regional innovation hub supporting local innovations from ideation to commercialisation.",52
rnd,e,"World-class universities and centres of excellence with strong industry links.",52
rnd,f,"A dynamic, informed innovation ecosystem with accurate technology forecasting.",52
digital,a,"A digitally savvy society embracing digital literacy, secure practices and emerging technologies aligned with ethical values.",54
digital,b,"A regional hub for technology development harnessing emerging technologies to drive innovation and competitiveness.",54
digital,c,"Nationwide access to reliable, affordable communication services and high-speed internet.",54
digital,d,"A robust, integrated system for managing statistics and information, with national sovereignty over data.",54
digital,e,"Widespread data commercialisation to maximise economic value and create jobs.",54
digital,f,"A leading regional hub for creating applications and digital content, involving youth in innovation.",54
digital,g,"A nation at the forefront of disruptive-technology adoption, powered by a future-ready workforce in an AI-driven economy.",54
digital,h,"A fully digital government delivering efficient, inclusive services to all citizens and businesses anytime, anywhere.",54
