id,type,title,who,description,linked_area,basis,source_page
o1,Investment,Critical minerals for the global energy transition,"Investors, Miners","Tanzania holds graphite, lithium, uranium and rare earths — increasingly valuable in global energy and tech; value addition is prioritised over raw export.",Mining,Documented,59
o2,Investment,Power generation & clean energy,"Investors, Utilities","Electricity per person must rise from ~170 to 3,000 kWh; investment is sought in hydro, solar, wind, geothermal and nuclear.",Energy,Documented,50
o3,Local manufacturing,From raw materials to finished goods,"Manufacturers, SMEs","Manufacturing (8.1% of GDP, growing ~8%/yr) is set to expand via agro-processing, construction materials and import substitution.",Manufacturing,Documented,58
o4,Export,Regional trade hub & AfCFTA access,"Exporters, Logistics firms","Upgraded railways, ports and roads aim to make Tanzania a gateway for East and Southern Africa — a base for regional exports.",Integrated Logistics,Documented,48
o5,Startup,Digital services & fintech,"Startups, Tech firms","Targets of 70% digital literacy and 80% of government services online create demand for platforms, fintech and integrations.",Digital Transformation,Documented,10
o6,Innovation,Agri-tech and cold-chain,"Startups, Agribusiness","Agriculture (26.5% of GDP, 65% of jobs) is to modernise via digitalisation, aquaculture and cold-chain logistics.",Agriculture,Inferred,57
o7,Research,R&D financing and IP commercialisation,"Researchers, Universities","A commitment of at least 1% of GDP to R&D, with IP protection and centres of excellence, opens grants and spin-outs.",Research & Development,Documented,52
o8,PPP,Public-private partnerships for infrastructure,"Companies, Investors","The plan leans on PPPs to reduce aid dependency and finance infrastructure and services.",Implementation,Documented,61
o9,Employment,Jobs in tourism and hospitality,"Job seekers, SMEs","Tourism (25% of export earnings) is set to become a leading source of direct and indirect jobs across hospitality and transport.",Tourism,Documented,57
o10,Investment,"Blue economy — LNG, fisheries, coastal tourism","Investors, SMEs","An extensive coastline and lakes are largely untapped for fisheries, marine transport, LNG and ocean energy.",Blue Economy,Documented,59
o11,Capacity-building,"Skills, M&E and institutional strengthening","Development partners, Consultants","A low Human Capital Index (0.39) and skills mismatches create demand for training, M&E and institutional capacity.",Human Capabilities,Documented,64
o12,Technology adoption,"Data centres, AI and cybersecurity","Tech firms, Government","Investment in data infrastructure, AI, GIS and secure systems underpins the digital-government agenda.",Digital Transformation,Inferred,53
o13,Funding,Deepening credit and capital markets,"Financial institutions","A narrow tax base (11.9% tax-to-GDP) and financing gaps mean demand for project finance, SME lending and capital markets.",Economy,Documented,50
o14,Innovation,Creative & sports industries,"Youth, Entrepreneurs","Music, film, fashion and sport are flagged as untapped sectors for youth employment and cultural export.",Sports & Creative,Documented,59
