category,insight,basis,source_page
Priority,"Ujenzi wa viwanda na uongezaji thamani, kuhama kutoka malighafi hadi bidhaa kamili, ndio uti wa mgongo wa nguzo ya uchumi.",Documented,53
Priority,"Mtaji watu ni suala la kufa na kupona: Kielelezo cha Mtaji Watu cha 0.39 kiko chini ya wastani wa kanda na lazima kipande.",Documented,58
Priority,"Nishati inachukuliwa kama msingi: umeme kwa mtu lazima upande karibu mara 18 hadi 3,000 kWh.",Documented,45
Dependency,"Karibu kila kitu kinategemea nishati: viwanda, huduma za kidijitali na tija vyote vinadhania umeme wa uhakika.",Inferred,45
Dependency,"Utekelezaji unategemea ujuzi; kutolingana kwa ujuzi wa nguvu kazi kumetajwa kama changamoto endelevu.",Documented,58
Dependency,"Ushindani wa biashara unategemea usafirishaji; gharama za 35-45% za uagizaji ni miongoni mwa juu zaidi duniani.",Documented,44
Capability gap,"Utafiti na maendeleo hayajapewa fedha za kutosha; mpango unaweka kiwango cha chini cha 1% ya pato la taifa, ikimaanisha matumizi ya leo yako chini yake.",Documented,48
Capability gap,"Msingi finyu wa kodi (11.9% kodi kwa pato la taifa) unazuia ufadhili wa ndani wa Dira.",Documented,45
Capability gap,"Upatikanaji mdogo wa umeme na matumizi kwa mtu vinazuia viwanda, hasa vijijini.",Documented,45
Bottleneck,"Urasimu wa sheria, tozo zinazoingiliana na urasimu vinaongeza gharama za kufanya biashara na usafirishaji.",Documented,44
Bottleneck,"Upatikanaji mdogo wa fedha nafuu unapunguza kasi ya uwekezaji wa nishati, R&D na biashara.",Documented,45
Bottleneck,"Uhamaji wa wataalamu na uhaba wa ujuzi vinatishia uwezo wa utafiti na ubunifu.",Documented,48
Leverage point,"Mradi wa Umeme wa Julius Nyerere (MW 2,115) ni nyenzo ya muda mfupi ya kufungua umeme wa viwanda.",Documented,45
Leverage point,"Idadi changa ya watu (43% chini ya miaka 15) ni faida ya kidemografia ikiwa itapata ujuzi na ajira.",Documented,3
Leverage point,"Madini muhimu yanaipa Tanzania nafasi katika minyororo ya ugavi ya mabadiliko ya nishati duniani.",Documented,54
Leverage point,"Jiografia ya lango pamoja na AfCFTA vinaifanya Tanzania kuwa kitovu cha asili cha biashara na usafirishaji kikanda.",Documented,44
Risk,"Utekelezaji dhaifu: mpango wenyewe unaonya kuwa hautavumilia utekelezaji dhaifu wa mipango ya awali.",Documented,55
Risk,"Utegemezi wa misaada; mfumo unasukuma PPP na utamaduni wa akiba wa ndani kupunguza utegemezi wa fedha za nje.",Documented,55
Risk,"Ukuaji usio jumuishi: ukuaji wa awali 'ulikosa ujumuishaji' na haukupunguza umaskini vya kutosha.",Documented,4
Risk,"Mabadiliko ya tabianchi yanatishia kilimo, maji na miundombinu katika mpango mzima.",Documented,41
