id,type,title,who,description,linked_area,basis,source_page
o1,Investment,"Madini muhimu kwa mabadiliko ya nishati duniani","Wawekezaji, Wachimbaji","Tanzania ina grafiti, lithiamu, urani na madini adimu, yenye thamani inayoongezeka duniani; uongezaji thamani unapewa kipaumbele kuliko mauzo ghafi.",Madini,Documented,54
o2,Investment,"Uzalishaji wa umeme na nishati safi","Wawekezaji, Kampuni za umeme","Umeme kwa mtu lazima upande kutoka ~170 hadi 3,000 kWh; uwekezaji unahitajika kwenye maji, jua, upepo, jotoardhi na nyuklia.",Nishati,Documented,45
o3,Local manufacturing,"Kutoka malighafi hadi bidhaa kamili","Wazalishaji, SME","Viwanda (8.1% ya pato la taifa, ukuaji ~8%/mwaka) vinatarajiwa kupanuka kupitia usindikaji wa kilimo, vifaa vya ujenzi na kubadilisha uagizaji.",Viwanda,Documented,53
o4,Export,"Kitovu cha biashara kikanda na AfCFTA","Wauzaji nje, Kampuni za usafirishaji","Reli, bandari na barabara zilizoboreshwa zinalenga kuifanya Tanzania lango la Afrika Mashariki na Kusini, na msingi wa mauzo ya nje kikanda.",Usafirishaji Fungamanishi,Documented,44
o5,Startup,"Huduma za kidijitali na fintech","Startups, Kampuni za teknolojia","Malengo ya 70% umahiri wa kidijitali na 80% ya huduma za serikali mtandaoni yanaleta mahitaji ya mifumo, fintech na ujumuishaji.",Mageuzi ya Kidijitali,Documented,8
o6,Innovation,"Kilimo-teknolojia na mnyororo wa ubaridi","Startups, Kilimo biashara","Kilimo (26.5% ya pato la taifa, 65% ya ajira) kinatakiwa kuboreshwa kupitia udijitali, ufugaji wa samaki na mnyororo wa ubaridi.",Kilimo,Inferred,52
o7,Research,"Ufadhili wa R&D na ubiasharishaji wa haki miliki","Watafiti, Vyuo vikuu","Ahadi ya angalau 1% ya pato la taifa kwa R&D, ikiwa na ulinzi wa haki miliki na vituo vya umahiri, inafungua ruzuku na biashara mpya.",Utafiti na Maendeleo,Documented,48
o8,PPP,"Ubia wa umma na binafsi kwa miundombinu","Makampuni, Wawekezaji","Mpango unategemea ubia (PPP) kupunguza utegemezi wa misaada na kugharimia miundombinu na huduma.",Utekelezaji,Documented,55
o9,Employment,"Ajira katika utalii na ukarimu","Watafutaji ajira, SME","Utalii (25% ya mauzo ya nje) unatarajiwa kuwa chanzo kikuu cha ajira za moja kwa moja na zisizo za moja kwa moja.",Utalii,Documented,52
o10,Investment,"Uchumi wa buluu: LNG, uvuvi na utalii wa pwani","Wawekezaji, SME","Ukanda mpana wa pwani na maziwa haujatumika sana kwa uvuvi, usafiri wa baharini, LNG na nishati ya bahari.",Uchumi wa Buluu,Documented,54
o11,Capacity-building,"Ujuzi, ufuatiliaji-tathmini na kuimarisha taasisi","Washirika wa maendeleo, Washauri","Kielelezo cha chini cha Mtaji Watu (0.39) na mapungufu ya ujuzi vinaleta mahitaji ya mafunzo, ufuatiliaji-tathmini na uwezo wa taasisi.",Uwezo wa Watu,Documented,58
o12,Technology adoption,"Vituo vya takwimu, AI na usalama wa mtandao","Kampuni za teknolojia, Serikali","Uwekezaji katika miundombinu ya takwimu, AI, GIS na mifumo salama unaimarisha ajenda ya serikali ya kidijitali.",Mageuzi ya Kidijitali,Inferred,49
o13,Funding,"Kukuza mikopo na masoko ya mitaji","Taasisi za kifedha","Msingi finyu wa kodi (11.9% kodi kwa pato) na mapungufu ya fedha vinaleta mahitaji ya fedha za miradi, mikopo ya SME na masoko ya mitaji.",Uchumi,Documented,45
o14,Innovation,"Sekta za ubunifu na michezo","Vijana, Wajasiriamali","Muziki, filamu, mavazi na michezo vimetajwa kama sekta zisizotumika kwa ajira za vijana na mauzo ya kiutamaduni.",Michezo na Ubunifu,Documented,54
